element,line,xray_line,energy_kev,weight
Ac,Ka,Ac_Ka,90.884,1.0
Ac,Kb,Ac_Kb,102.846,0.15
Ac,La,Ac_La,12.652,1.0
Ac,Lb1,Ac_Lb1,15.713,0.4
Ac,Lb2,Ac_Lb2,15.234,0.236
Ac,Lb3,Ac_Lb3,15.931,0.06
Ac,Lg1,Ac_Lg1,18.4083,0.08
Ac,Lg3,Ac_Lg3,18.95,0.017
Ac,Ll,Ac_Ll,10.869,0.06549
Ac,Ln,Ac_Ln,14.0812,0.0133
Ac,M2N4,Ac_M2N4,3.9811,0.00674
Ac,M3O4,Ac_M3O4,3.82586,0.01
Ac,M3O5,Ac_M3O5,3.83206,0.01
Ac,Ma,Ac_Ma,2.9239330000000003,1.0
Ac,Mb,Ac_Mb,3.06626,0.64124
Ac,Mg,Ac_Mg,3.272,0.33505
Ac,Mz,Ac_Mz,2.329,0.03512
Ag,Ka,Ag_Ka,22.1629,1.0
Ag,Kb,Ag_Kb,24.9426,0.15
Ag,La,Ag_La,2.9844,1.0
Ag,Lb1,Ag_Lb1,3.1509,0.35175
Ag,Lb2,Ag_Lb2,3.3478,0.1165
Ag,Lb3,Ag_Lb3,3.2344,0.0737
Ag,Lb4,Ag_Lb4,3.2034,0.0444
Ag,Lg1,Ag_Lg1,3.5204,0.03735
Ag,Lg3,Ag_Lg3,3.7499,0.014
Ag,Ll,Ag_Ll,2.6336,0.04129
Ag,Ln,Ag_Ln,2.8062,0.0131
Al,Ka,Al_Ka,1.4865,1.0
Al,Kb,Al_Kb,1.5596,0.0132
Ar,Ka,Ar_Ka,2.9577,1.0
Ar,Kb,Ar_Kb,3.1905,0.10169
As,Ka,As_Ka,10.5436,1.0
As,Kb,As_Kb,11.7262,0.14589
As,La,As_La,1.2819,1.0
As,Lb1,As_Lb1,1.3174,0.16704
As,Lb3,As_Lb3,1.386,0.04769
As,Ll,As_Ll,1.1196,0.04929
As,Ln,As_Ln,1.1551,0.01929
At,Ka,At_Ka,81.5164,1.0
At,Kb,At_Kb,92.3039,0.15
At,La,At_La,11.4268,1.0
At,Lb1,At_Lb1,13.876,0.38048
At,Lb2,At_Lb2,13.73812,0.2305
At,Lb3,At_Lb3,14.067,0.06
At,Lb4,At_Lb4,13.485,0.05809
At,Lg1,At_Lg1,16.2515,0.08
At,Lg3,At_Lg3,16.753,0.017
At,Ll,At_Ll,9.8965,0.06179
At,Ln,At_Ln,12.4677,0.0132
At,M2N4,At_M2N4,3.4748,0.00863
At,Mb,At_Mb,2.71162,0.64124
At,Mg,At_Mg,2.95061,0.21845
At,Mz,At_Mz,2.0467,0.00354
Au,Ka,Au_Ka,68.8062,1.0
Au,Kb,Au_Kb,77.9819,0.15
Au,La,Au_La,9.713,1.0
Au,Lb1,Au_Lb1,11.4425,0.40151
Au,Lb2,Au_Lb2,11.5848,0.21949
Au,Lb3,Au_Lb3,11.6098,0.069
Au,Lb4,Au_Lb4,11.205,0.0594
Au,Lg1,Au_Lg1,13.3816,0.08407
Au,Lg3,Au_Lg3,13.8074,0.0194
Au,Ll,Au_Ll,8.4938,0.0562
Au,Ln,Au_Ln,10.3087,0.01379
Au,M2N4,Au_M2N4,2.7958,0.02901
Au,M3O4,Au_M3O4,2.73469,0.005
Au,M3O5,Au_M3O5,2.73621,0.01
Au,Ma,Au_Ma,2.1229,1.0
Au,Mb,Au_Mb,2.2047,0.59443
Au,Mg,Au_Mg,2.4091,0.08505
Au,Mz,Au_Mz,1.6603,0.01344
B,Ka,B_Ka,0.1833,1.0
